generation,best,mean,worst
0,0.8581690796256498,17.235108475423683,36.95328532398915
1,0.8581690796256498,15.114798107406315,34.282634653215325
2,0.8581690796256498,12.070057475501114,34.062866584492646
3,0.8581690796256498,10.572201849261505,30.23319344464269
4,0.20815244389255225,8.493783908246217,21.745393187664547
5,0.20815244389255225,6.358063056162719,17.04825955173975
6,0.20815244389255225,5.247218599431594,15.456452280088557
7,0.20815244389255225,3.8376531662707616,10.049792860351747
8,0.20815244389255225,3.3214461365653536,8.76164447550879
9,0.20815244389255225,2.6701264593299943,8.702872203320503
10,0.20815244389255225,2.3722676375019303,7.861917434157702
11,0.20815244389255225,1.9755171355423007,6.498779846211619
12,0.20815244389255225,1.7202551227304483,5.436159532774865
13,0.20815244389255225,1.551543811791829,4.293762043114822
14,0.20815244389255225,1.1500028633643158,4.293762043114822
15,0.010432248469785015,0.8167538656202663,2.6311789607708738
16,0.010432248469785015,0.6847468655155089,1.8969698224944311
17,0.010432248469785015,0.4728519986623996,1.1190841237446543
18,0.010432248469785015,0.39597034444056084,1.0936701188940237
19,0.010432248469785015,0.3195717726823783,0.8746773249456531
20,0.006902359828517311,0.24520272419838782,0.8746773249456531
21,0.006902359828517311,0.21013031571343144,0.8746773249456531
22,0.006902359828517311,0.1590729273260873,0.8746773249456531
23,0.006902359828517311,0.12847130388471026,0.4343396494268642
24,0.006902359828517311,0.09920001932558031,0.32320628604581575
25,0.006902359828517311,0.07187975575272075,0.23126355574091773
26,0.006902359828517311,0.060283306111878314,0.23126355574091773
27,0.002418480373578816,0.047523012001307874,0.15834471957680532
28,0.002418480373578816,0.03823847561403273,0.12800165420240636
29,0.00046226316987282824,0.0308763621072307,0.07805878148534393
30,0.00046226316987282824,0.026432955330960083,0.06968013373753348
31,0.00046226316987282824,0.023181861573309825,0.06968013373753348
32,0.00046226316987282824,0.018930956693479283,0.04962794870315765
33,0.00046226316987282824,0.014821787412285032,0.03984785348705123
34,0.00046226316987282824,0.012706021782390563,0.03984785348705123
35,0.00046226316987282824,0.008900463932107546,0.03513488656361837
36,0.00046226316987282824,0.007240274944202137,0.022603268535159288
37,0.00016202678587370214,0.006532852509570111,0.022603268535159288
38,0.00016202678587370214,0.005250071771009331,0.014811280283055851
39,0.00016202678587370214,0.004299575096200698,0.012333862675611634
40,0.00016202678587370214,0.00380235771702834,0.011052773796996165
41,0.00016202678587370214,0.003091452714453496,0.008635296603837158
42,0.00016202678587370214,0.002410750177628804,0.006857177194219995
43,0.00016202678587370214,0.002210312825810091,0.006857177194219995
44,0.00016202678587370214,0.001967238889990759,0.006857177194219995
45,0.00016202678587370214,0.0015203046017881136,0.00455920024431189
46,9.106905872877979e-05,0.0012103528377481146,0.003940551469962191
47,9.106905872877979e-05,0.0010806224676576113,0.003940551469962191
48,9.106905872877979e-05,0.0008972208959959894,0.003292283524016797
49,9.106905872877979e-05,0.0007161095762356285,0.0018529158726081326
50,6.182683394814737e-05,0.0006028931684064976,0.001436100190812641
51,6.182683394814737e-05,0.00048543092510549863,0.001346643877070812
52,3.537561535282288e-05,0.00041249507084146266,0.001346643877070812
53,6.9734434713191585e-06,0.0003474685537987002,0.001346643877070812
54,6.9734434713191585e-06,0.0002644026203561176,0.0007431789921608
55,6.9734434713191585e-06,0.0001967142557799498,0.000546310280271491
56,6.9734434713191585e-06,0.000147964797784772,0.000546310280271491
57,6.9734434713191585e-06,0.00010867708391584165,0.0003236911762641203
58,6.9734434713191585e-06,9.13098176178226e-05,0.0003236911762641203
59,4.309768369242788e-06,7.434223363320371e-05,0.00024399098645056666
60,2.317785896893213e-06,4.617187464080188e-05,0.00016270897635159445
61,2.317785896893213e-06,3.555625550374516e-05,0.0001211243648185391
62,1.4820038923148837e-06,2.8567285394420183e-05,0.0001022257493605618
63,1.4820038923148837e-06,2.099797580836798e-05,7.69795135214976e-05
64,1.4820038923148837e-06,1.685379247802944e-05,5.038841134370909e-05
65,1.4759051433037355e-06,1.3786125888224785e-05,3.725479143242209e-05
66,1.4759051433037355e-06,1.184656736767464e-05,3.619846549907355e-05
67,1.4759051433037355e-06,9.779061594266247e-06,2.7750936977277423e-05
68,1.0944735864870177e-06,6.801204364112165e-06,2.0355996085974063e-05
69,3.9450839634841415e-07,5.536046862001166e-06,1.7186958601917352e-05
70,3.9450839634841415e-07,4.598879892418291e-06,1.3536141227500798e-05
71,1.5796082748672663e-07,3.971070092294871e-06,1.1229930313781783e-05
72,1.5796082748672663e-07,3.347698249106958e-06,1.0971122812380976e-05
73,1.5796082748672663e-07,2.766513717840255e-06,1.0181650674409819e-05
74,1.5796082748672663e-07,2.428588659224536e-06,7.730995564494537e-06
75,1.5796082748672663e-07,2.121117992070042e-06,7.730995564494537e-06
76,7.066180005057138e-08,1.7754122862380276e-06,6.0946493531296094e-06
77,7.066180005057138e-08,1.6591046042895645e-06,5.556521487140369e-06
78,7.066180005057138e-08,1.2383750905127962e-06,3.4492582557691326e-06
79,7.066180005057138e-08,1.0717406146936789e-06,3.4492582557691326e-06
80,7.066180005057138e-08,8.514601117899868e-07,2.9293436523647244e-06
81,7.066180005057138e-08,7.39416025088868e-07,2.405392679965421e-06
82,7.066180005057138e-08,5.820353826857686e-07,1.5464371717958387e-06
83,7.066180005057138e-08,4.3933695637307305e-07,1.2706107429723237e-06
84,7.066180005057138e-08,3.5068167688258483e-07,8.063764115441977e-07
85,7.066180005057138e-08,3.050159899168608e-07,8.063764115441977e-07
86,7.066180005057138e-08,2.518533629141173e-07,7.191084529788228e-07
87,7.066180005057138e-08,2.2735904375666034e-07,5.104636100822039e-07
88,1.7359908491747432e-09,1.8665917617531952e-07,5.104636100822039e-07
89,1.7359908491747432e-09,1.7214429679289208e-07,5.104636100822039e-07
90,7.515297975504807e-10,1.4042617071918902e-07,4.894126748922904e-07
91,7.515297975504807e-10,1.1463693114481522e-07,4.554115772482457e-07
92,7.515297975504807e-10,9.985054072349157e-08,3.869831112079983e-07
93,7.515297975504807e-10,7.966913245382057e-08,2.64934717420658e-07
94,7.515297975504807e-10,6.09096953602611e-08,1.3671215446120617e-07
95,7.515297975504807e-10,4.8283009987092144e-08,1.1994620857272397e-07
96,7.515297975504807e-10,4.1176258889507024e-08,1.1300310967931814e-07
97,7.515297975504807e-10,3.220140949394926e-08,9.108137474357457e-08
98,5.040248213118074e-10,2.5797364159199948e-08,8.733193319685909e-08
99,1.2161881337471338e-10,1.9251045197967517e-08,8.733193319685909e-08
100,1.2161881337471338e-10,1.6186582947560327e-08,5.3969379759015494e-08
101,1.2161881337471338e-10,1.3117592498776775e-08,4.6804305266627166e-08
102,1.2161881337471338e-10,1.0050676183622684e-08,4.6804305266627166e-08
103,1.2161881337471338e-10,7.945626711832902e-09,3.133579909577012e-08
104,1.2161881337471338e-10,5.476027018561081e-09,2.166518424933065e-08
105,1.2161881337471338e-10,4.251377835340462e-09,1.4344889791293454e-08
106,8.541448037467113e-11,3.0786450224679335e-09,1.1687273807499297e-08
107,8.541448037467113e-11,2.3398097492872238e-09,6.501553499241931e-09
