generation,best,mean,worst
0,2987.315757110152,3984.86119868671,4934.0672164003845
1,2470.6062328657167,3659.1696023496693,4594.641683812659
2,2470.6062328657167,3536.8590748361607,4414.178178595275
3,2243.067284518358,3435.3405860858284,4131.6960262968005
4,2243.067284518358,3369.5915245398664,4131.6960262968005
5,2243.067284518358,3343.121186183205,4131.6960262968005
6,2243.067284518358,3246.893486082565,4131.6960262968005
7,2243.067284518358,3184.296730247954,4062.5647631606944
8,2243.067284518358,3149.297675931891,4062.5647631606944
9,2243.067284518358,3133.724898600967,4045.4190700264735
10,2243.067284518358,3115.878098368589,4045.4190700264735
11,2243.067284518358,3091.921628794015,3897.5675106349654
12,2243.067284518358,3083.3483606167288,3897.5675106349654
13,2243.067284518358,3057.1938187469973,3897.5675106349654
14,2243.067284518358,3034.995443387364,3897.5675106349654
15,2243.067284518358,3019.9643630861706,3897.5675106349654
16,2243.067284518358,3004.90735585655,3897.5675106349654
17,2243.067284518358,2992.9659057630265,3480.4921606676326
18,2243.067284518358,2969.233151966932,3480.4921606676326
19,2243.067284518358,2968.472340701741,3480.4921606676326
20,2243.067284518358,2961.1785584923596,3480.4921606676326
21,2243.067284518358,2931.165857912327,3480.4921606676326
22,2243.067284518358,2923.819687151252,3480.4921606676326
23,2243.067284518358,2904.643385257875,3385.279666536895
24,2243.067284518358,2858.401299632261,3354.549017303733
25,2243.067284518358,2840.4420239574956,3329.287007947179
26,2243.067284518358,2840.4420239574956,3329.287007947179
27,2243.067284518358,2818.2390322965844,3329.287007947179
28,2243.067284518358,2813.384572223719,3329.287007947179
29,2187.7708981113765,2805.7802220218896,3329.287007947179
30,2187.7708981113765,2804.762885903478,3329.287007947179
31,2187.7708981113765,2759.203901035437,3268.571605318614
32,2187.7708981113765,2758.6152165772273,3247.470298932343
33,2187.7708981113765,2747.554638214099,3247.470298932343
34,2187.7708981113765,2746.2345223427096,3247.470298932343
35,2187.7708981113765,2744.582103919828,3247.470298932343
36,2187.7708981113765,2741.8860543577216,3247.470298932343
