generation,best,mean,worst
0,61178.49077867898,349288.3049807375,803361.8704831009
1,41785.843929173076,122967.23672721689,211791.48085920184
2,24326.481579872456,78463.53860553639,124566.12045131209
3,16617.93959376898,58690.767510203514,88595.21801006026
4,11125.862283619233,44363.99667997449,68329.1646597179
5,9361.716843935488,35700.2487511285,48778.102932859256
6,9361.716843935488,29159.94683560549,40428.866438466735
7,6099.559608153043,23695.623639551763,33547.34897222883
8,6099.559608153043,21439.181756598926,30278.569759340797
9,6030.121543324991,18596.127614901154,25947.13603717395
10,2442.5279593356163,15379.21771686169,23658.81264496434
11,2442.5279593356163,13294.197016674658,21104.38547700829
12,2442.5279593356163,11280.841188452381,17142.484907701248
13,2442.5279593356163,10214.437319099481,14650.117641346644
14,2442.5279593356163,9481.491595347605,13762.765039046553
15,2442.5279593356163,8960.013828479132,13187.788897786795
16,2442.5279593356163,8421.499972173935,11884.936720542702
17,861.3746666809808,7430.511248033863,10517.304829407643
18,861.3746666809808,6537.7278944675545,10077.576832196795
19,861.3746666809808,5892.829021824661,9379.067689274134
20,861.3746666809808,5658.250911721408,8557.224919532082
21,861.3746666809808,5336.551321127656,8093.78950180718
22,861.3746666809808,5207.758470436329,7997.656089474768
23,861.3746666809808,5107.27028304713,7728.523396783104
24,861.3746666809808,5033.925604682743,7681.089792651789
25,861.3746666809808,4804.403680175385,7218.508237978195
26,861.3746666809808,4715.814269588995,6913.73358452996
27,861.3746666809808,4541.608174127112,6438.569867587788
28,861.3746666809808,4212.068692237749,6163.355081649708
29,861.3746666809808,4121.7486855902025,6099.559608153043
30,861.3746666809808,3993.9051377299916,6040.068756483558
31,861.3746666809808,3949.973764178612,5875.3556000963745
32,861.3746666809808,3921.3890329549404,5857.523504613574
33,861.3746666809808,3733.526161773238,5491.556981778877
34,861.3746666809808,3620.4196709952466,5308.337416100906
35,861.3746666809808,3593.2559770046605,5107.800025956634
36,861.3746666809808,3554.5858619179344,4971.010734067534
37,861.3746666809808,3466.8105004724866,4854.017230686986
