generation,best,mean,worst
0,3089.911941021841,3840.4223548943055,4271.9999566624565
1,2623.277932404226,3608.4654163488162,3982.4558688299453
2,2623.277932404226,3459.231973563104,3789.816023359596
3,2623.277932404226,3385.997696786269,3679.4643140815574
4,2511.08132235791,3305.7049234406877,3603.84229492494
5,2478.3199520285166,3229.264490318838,3535.146150524478
6,2478.3199520285166,3192.9101091483235,3473.651880934872
7,2478.3199520285166,3133.6829136295205,3422.286814187736
8,2478.3199520285166,3095.761578433858,3385.279666536895
9,2400.802998776353,3055.2151625603346,3354.752975835874
10,2400.802998776353,3034.338882475667,3327.981926819527
11,2400.802998776353,3000.5859195806797,3290.5228995500943
12,2053.258821810652,2922.3357657093457,3236.909595395989
13,2053.258821810652,2915.176534205638,3234.261392559353
14,2053.258821810652,2886.145599466239,3206.4729584858324
15,2053.258821810652,2867.107216836774,3179.7650434623365
16,2053.258821810652,2857.8540195749624,3144.2657121104994
17,2053.258821810652,2848.304361756769,3140.572246545599
18,2053.258821810652,2834.0791741401977,3122.5125242589534
19,2053.258821810652,2812.2688619144583,3096.9839974907773
20,2053.258821810652,2780.9306928091664,3066.2562658710995
21,2053.258821810652,2761.630179467152,3021.789467169386
22,2053.258821810652,2757.8602343207085,3012.0299497635474
23,2053.258821810652,2753.6852330565534,3003.929814114308
24,2053.258821810652,2752.7393126909406,3001.448371767644
25,2053.258821810652,2727.9237018473445,2986.5477089094343
26,2053.258821810652,2705.8920645884996,2954.9831937913086
27,2053.258821810652,2705.8920645884996,2954.9831937913086
28,2053.258821810652,2689.8448701273755,2931.701029734829
29,2053.258821810652,2664.0644846297528,2899.4047363733616
30,2053.258821810652,2637.890876523982,2878.9480202105783
31,2053.258821810652,2637.890876523982,2878.9480202105783
32,2053.258821810652,2637.890876523982,2878.9480202105783
33,2053.258821810652,2633.315848610133,2875.2827455946526
34,2053.258821810652,2627.532305170459,2856.880124682966
35,2053.258821810652,2602.425197744247,2840.8248979304362
36,2053.258821810652,2593.0270964958227,2827.4300832423014
