generation,best,mean,worst
0,72428.80326464263,937689.5009429421,2394148.9350123624
1,72428.80326464263,864712.2727976543,2394148.9350123624
2,72428.80326464263,724839.1134046561,1712538.6876426719
3,39293.38076931842,632907.0568894967,1620379.6093992004
4,39293.38076931842,554739.7331118531,1481767.967305103
5,39293.38076931842,460564.32904900564,1260028.7096281813
6,39293.38076931842,406680.67678783886,1260028.7096281813
7,39293.38076931842,345348.93526299484,1260028.7096281813
8,39293.38076931842,297142.6355067305,1069280.831088705
9,39293.38076931842,261992.7837431798,1034926.9951547774
10,39293.38076931842,243850.36494784747,1034926.9951547774
11,38355.49152487196,198891.5009832976,759262.2378240246
12,20468.066253557776,180554.80600294712,578233.8301792453
13,20468.066253557776,159632.72872869016,433231.8794868127
14,20468.066253557776,145744.65528513008,360116.93696728616
15,20468.066253557776,139599.29874472678,360116.93696728616
16,20468.066253557776,135815.1192200738,294846.0643068683
17,20468.066253557776,132126.15545559005,294846.0643068683
18,20468.066253557776,124289.03137414836,294846.0643068683
19,20468.066253557776,113047.33018425351,237055.83307837287
20,20468.066253557776,107946.11060096849,236053.41435852804
21,17595.64130431626,98416.57444907665,236053.41435852804
22,11891.96722307818,90392.53465111055,236053.41435852804
23,7859.718230392915,86102.44296509841,174197.64593319662
24,7859.718230392915,79028.1250179353,174197.64593319662
25,7859.718230392915,77434.17397463323,150151.0150521863
26,7859.718230392915,74809.59678484873,146106.89094308653
27,7859.718230392915,71655.20465608701,146106.89094308653
28,7859.718230392915,65898.6039980577,146106.89094308653
29,7859.718230392915,62216.17512882191,146106.89094308653
30,7859.718230392915,58708.074455009366,146106.89094308653
31,7859.718230392915,52820.15307936292,127820.78647111307
32,7859.718230392915,48157.28220883963,127820.78647111307
33,7859.718230392915,44589.11058427657,127820.78647111307
34,7859.718230392915,41349.75608779188,111470.62653643062
35,7859.718230392915,38534.557821307426,97540.5987256996
36,2708.410101659363,36470.09843910224,97540.5987256996
37,2708.410101659363,35210.95304329443,97540.5987256996
38,2708.410101659363,32325.7531504021,76333.0375500416
39,2708.410101659363,30860.279788451902,74009.36846918098
40,2708.410101659363,29550.62437268134,67980.14130635203
41,2708.410101659363,26581.175692301138,62409.63969449636
42,2708.410101659363,24392.328770957938,56131.633147686756
43,2708.410101659363,22267.48967027622,53582.40351164466
44,2708.410101659363,21197.61469875858,53582.40351164466
45,2708.410101659363,20045.37417053023,53582.40351164466
46,2708.410101659363,18710.347870011105,46072.61372991538
47,2708.410101659363,18031.016964362738,46072.61372991538
48,2708.410101659363,17030.15624630286,35128.06237121063
49,2708.410101659363,16616.691522547568,35128.06237121063
50,2708.410101659363,15516.764132443483,33825.96776807044
