start_node,cost,execution_time
0,8449.318332290888,0.0022493998985737562
1,8477.16230296993,0.002065399894490838
2,8481.246744468339,0.002044399967417121
3,8472.488523982367,0.0020885998383164406
4,8441.197758684812,0.002154999878257513
5,8283.82692794102,0.002145899925380945
6,8393.694994409889,0.0020800000056624413
7,8381.778988103462,0.0020332999993115664
8,8501.127739660958,0.002015799982473254
9,8428.874754340106,0.0020041000097990036
10,8479.080998345162,0.002009799936786294
11,8484.17280825006,0.002026899950578809
12,8278.82066474833,0.002082100138068199
13,8356.169160512161,0.002065100008621812
14,8487.833567498328,0.002099999925121665
15,8476.618724921957,0.0020451999735087156
16,8504.913542638411,0.002022600034251809
17,8385.915816344046,0.0020195001270622015
18,8386.044418901252,0.002002099994570017
19,8393.001134092001,0.0020569998305290937
20,8365.62391495798,0.0020430998411029577
21,8366.269884790161,0.0021838999819010496
22,8367.229524042472,0.0021061000879853964
23,8447.437705892211,0.0020846000406891108
24,8446.206709700833,0.0020413000602275133
25,8448.432956158826,0.002029400086030364
26,8452.37001248739,0.0020502000115811825
27,8439.490761021152,0.002040799940004945
28,8418.61487664915,0.0021632001735270023
29,8487.04423311585,0.0020689000375568867
30,8455.8442750372,0.0020378001499921083
31,8365.781571969435,0.002026400063186884
32,8477.80034093914,0.0020418998319655657
33,8493.348023646411,0.0020949000027030706
34,8462.344176516399,0.002049200003966689
35,8675.750605015888,0.0021434000227600336
36,8679.378456726621,0.002023200038820505
37,8474.26668072012,0.0019928000401705503
38,8461.847024457082,0.001970200100913644
39,8374.349594325304,0.0019769000355154276
40,8502.355316453746,0.001975799910724163
41,8422.37402602684,0.001982900081202388
42,8405.260987648378,0.001982499845325947
43,8371.388006628727,0.002094700001180172
44,8366.269884790157,0.00208020000718534
45,8366.26988479016,0.0021164000499993563
46,8330.35726088868,0.0021115001291036606
47,8402.270862407082,0.0021742000244557858
48,8396.782016239098,0.0021262001246213913
49,8428.02906910059,0.0019972999580204487
50,8417.249338246998,0.0020049000158905983
51,8471.490916078508,0.0020364001393318176
52,8462.020285036275,0.0020715000573545694
53,8262.423185059408,0.002067500026896596
54,8666.063052330592,0.002037400146946311
55,8291.108115775061,0.002048900118097663
56,8666.925644993275,0.0019847999792546034
57,8303.46860553846,0.0019741998985409737
58,8672.444799613244,0.002007999923080206
59,8431.241988813697,0.0019615001510828733
60,8315.228872478549,0.001982900081202388
61,8313.82238081993,0.001978500047698617
62,8315.2052118308,0.0019741998985409737
63,8245.353113508316,0.0020182000007480383
64,8630.189239643809,0.0019835999701172113
65,8585.785019181181,0.0020292000845074654
66,8385.588826381372,0.0020085000433027744
67,8651.301208154051,0.0019956000614911318
68,8226.405922214608,0.0020092001650482416
69,8330.35726088868,0.0020047000143676996
70,8394.585887699173,0.0020007998682558537
71,8417.499390417253,0.0019933998119086027
72,8321.998200743348,0.0019904000218957663
73,8412.586285242916,0.002003900008276105
74,8349.529736071892,0.0019729998894035816
75,8609.101581434847,0.0019904000218957663
76,8364.903794776696,0.0019696999806910753
