======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: U574
  Dimension:     574 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  206          47045.5986         0.002222    
  207          46823.8133         0.002215    
  208          46332.8683         0.002241    
  209          47791.4394         0.002225    
  210          46878.0663         0.002195    
  211          47444.2529         0.002275    
  212          47934.4217         0.002227    
  213          47924.6506         0.002231    
  214          47533.9122         0.002237    
  215          47068.6553         0.002258    
  216          48130.3169         0.002323    
  217          47136.9984         0.002274    
  218          47243.1923         0.002262    
  219          46743.7030         0.002318    
  220          47377.4278         0.002253    
  221          47375.1302         0.002215    
  222          47276.6058         0.002281    
  223          48373.1886         0.002356    
  224          47238.3117         0.002280    
  225          46812.3580         0.002277    
  226          47288.1728         0.002261    
  227          47339.2819         0.002276    
  228          47187.4023         0.002286    
  229          47184.1138         0.002280    
  230          47224.8185         0.002335    
  231          47721.7964         0.002357    
  232          47734.4471         0.002345    
  233          47708.3701         0.002299    
  234          47050.2538         0.002306    
  235          46946.0179         0.002283    
  236          47030.2434         0.002322    
  237          46714.9969         0.002272    
  238          46743.9181         0.002265    
  239          48033.2007         0.002266    
  240          47197.2721         0.002284    
  241          47656.2904         0.002267    
  242          47403.8857         0.002246    
  243          47769.8754         0.002356    
  244          47086.9714         0.002311    
  245          47083.9112         0.002297    
  246          47015.3187         0.002268    
  247          47457.4494         0.002315    
  248          46580.5775         0.002280    
  249          47537.7175         0.002284    
  250          47109.9360         0.002274    
  251          47104.7347         0.002240    
  252          47098.2716         0.002220    
  253          47723.2669         0.002239    
  254          47277.9384         0.002286    
  255          47337.9103         0.002254    
  256          47268.4014         0.002212    
  257          47260.8589         0.002187    
  258          47169.6385         0.002225    
  259          47245.7738         0.002266    
  260          47205.3201         0.002251    
  261          45729.4874         0.002257    
  262          45748.6931         0.002255    
  263          46355.4386         0.002223    
  264          46144.4492         0.002232    
  265          46075.5802         0.003089    
  266          45763.1776         0.003265    
  267          45693.5913         0.002260    
  268          46188.6318         0.002266    
  269          46250.0200         0.002261    
  270          46678.7844         0.002273    
  271          46666.9464         0.002314    
  272          46654.7286         0.002320    
  273          46711.6554         0.002276    
  274          46694.1504         0.002269    
  275          45980.5712         0.002290    
  276          45992.5225         0.002283    
  277          46003.3399         0.002246    
  278          45977.8642         0.002335    
  279          46003.5034         0.002328    
  280          46232.8200         0.002325    
  281          46764.9707         0.002291    
  282          46716.8529         0.002287    
  283          46655.0181         0.002300    
  284          46564.4869         0.002288    
  285          47070.8213         0.002290    
  286          46586.6173         0.002300    
  287          47054.9474         0.002313    
  288          47090.7633         0.002321    
  289          46931.7323         0.002299    
  290          47016.9482         0.002255    
  291          47055.8533         0.002344    
  292          47098.7740         0.002270    
  293          46872.8392         0.002255    
  294          46566.8539         0.002289    
  295          46644.0367         0.002275    
  296          45685.9177         0.002236    
  297          46699.6717         0.002218    
  298          46610.2307         0.002243    
  299          48909.0209         0.002220    
  300          45701.1548         0.002204    
  301          46525.8939         0.002212    
  302          45726.4974         0.002193    
  303          45675.9905         0.002205    
  304          46417.8448         0.002201    
  305          46601.7826         0.002185    
  306          46382.4387         0.002214    
  307          48941.6787         0.002196    
  308          49067.2244         0.002183    
  309          46569.8100         0.002252    
  310          46772.8272         0.002233    
  311          45740.4734         0.002232    
  312          45734.2812         0.002223    
  313          46253.6644         0.002249    
  314          46254.4204         0.002306    
  315          47150.5762         0.002258    
  316          47101.6356         0.002244    
  317          46732.4553         0.002253    
  318          47246.1019         0.002280    
  319          46703.2053         0.002267    
  320          45028.6061         0.004200    
  321          45024.9449         0.004239    
  322          46607.2590         0.002747    
  323          45012.6380         0.002263    
  324          45013.0702         0.002267    
  325          47220.9738         0.002940    
  326          45006.0293         0.002436    
  327          45074.5927         0.002355    
  328          44908.9966         0.002360    
  329          44923.7987         0.002394    
  330          46161.2097         0.002388    
  331          46287.2021         0.002420    
  332          46426.8038         0.002345    
  333          46386.5047         0.002343    
  334          46073.7245         0.002328    
  335          46398.9857         0.002292    
  336          45856.0835         0.002322    
  337          45933.3288         0.002310    
  338          45969.2248         0.002396    
  339          47140.7118         0.002392    
  340          46122.0442         0.002381    
  341          46133.5103         0.002348    
  342          46246.1313         0.002335    
  343          46214.1211         0.002322    
  344          45364.6987         0.002348    
  345          46071.3655         0.002331    
  346          46013.6159         0.002306    
  347          45905.8559         0.002309    
  348          45520.9434         0.002334    
  349          45584.9764         0.002366    
  350          45764.0592         0.002262    
  351          45531.8211         0.002262    
  352          47214.0480         0.002255    
  353          47233.5179         0.002301    
  354          46483.2723         0.002318    
  355          47364.7816         0.002309    
  356          46541.7655         0.002327    
  357          46510.7574         0.002266    
  358          48043.4265         0.002271    
  359          45698.2514         0.002279    
  360          47877.1105         0.002681    
  361          45618.9287         0.002292    
  362          45591.5477         0.002263    
  363          45665.7431         0.002369    
  364          47275.0388         0.002286    
  365          45537.8831         0.002293    
  366          44514.8354         0.002290    
  367          45962.5858         0.002276    
  368          45938.0954         0.002271    
  369          46068.1941         0.002310    
  370          45152.0505         0.002355    
  371          45985.9196         0.002344    
  372          47106.8418         0.002332    
  373          47458.5659         0.002331    
  374          47168.1473         0.002288    
  375          46576.1861         0.002288    
  376          45341.6923         0.002280    
  377          46498.0335         0.002418    
  378          46340.6369         0.002394    
  379          46505.0451         0.002339    
  380          45588.1675         0.002385    
  381          46399.7836         0.002311    
  382          46255.4492         0.002285    
  383          46231.8319         0.002308    
  384          46230.8633         0.002346    
  385          46658.0810         0.002266    
  386          46648.5102         0.002253    
  387          46696.9797         0.002315    
  388          46691.2702         0.002275    
  389          46696.2319         0.002242    
  390          46263.4283         0.002282    
  391          46979.3272         0.002381    
  392          46321.2409         0.002285    
  393          46324.8999         0.002255    
  394          45841.1230         0.002294    
  395          45887.1779         0.002311    
  396          45849.4597         0.002250    
  397          45759.3331         0.002244    
  398          46233.3407         0.002422    
  399          45914.2316         0.002255    
  400          46737.5955         0.002230    
  401          45856.2247         0.002205    
  402          46033.6699         0.002230    
  403          46188.7062         0.002277    
  404          47401.1168         0.002280    
  405          46668.3921         0.002355    
  406          47797.7886         0.002270    
  407          47792.9584         0.002271    
  408          46759.7904         0.002338    
  409          46284.8695         0.002389    
  410          46569.4339         0.002317    
  411          47407.6033         0.002323    
  412          46673.1023         0.002266    
  413          46196.3111         0.002268    
  414          46128.1904         0.002269    
  415          46208.4955         0.002300    
  416          46724.8648         0.002340    
  417          46353.3178         0.002357    
  418          46726.1312         0.002326    
  419          46393.7327         0.002332    
  420          46386.0561         0.002305    
  421          46387.3303         0.002335    
  422          46592.8235         0.002431    
  423          46562.7759         0.002308    
  424          46622.5492         0.002298    
  425          46579.1184         0.002279    
  426          46617.0392         0.002290    
  427          47123.9639         0.002287    
  428          46320.7826         0.002287    
  429          48227.3087         0.002385    
  430          48225.4788         0.002386    
  431          47145.3239         0.002352    
  432          47213.3024         0.002319    
  433          47274.5992         0.002306    
  434          48502.0987         0.002367    
  435          48566.3322         0.002343    
  436          47317.2858         0.003957    
  437          47241.7483         0.002248    
  438          47183.4362         0.002219    
  439          47289.4021         0.002192    
  440          47433.1803         0.002186    
  441          46743.3829         0.002201    
  442          46753.2780         0.002267    
  443          48073.4723         0.002206    
  444          48105.0924         0.002194    
  445          48047.6422         0.002178    
  446          48055.5521         0.002229    
  447          47674.1732         0.002236    
  448          46799.0376         0.002286    
  449          46777.6068         0.002244    
  450          46206.0114         0.002262    
  451          47004.4926         0.002264    
  452          46786.5574         0.002251    
  453          46271.2020         0.002255    
  454          46269.8203         0.002256    
  455          46791.4666         0.002319    
  456          47255.6437         0.002301    
  457          45997.1757         0.002283    
  458          47341.0300         0.002271    
  459          46128.8509         0.002345    
  460          45907.0913         0.002306    
  461          46224.1056         0.002269    
  462          46158.6914         0.002266    
  463          46707.4887         0.002249    
  464          46855.1469         0.002261    
  465          46059.5716         0.002247    
  466          47200.7348         0.002292    
  467          46968.0390         0.002279    
  468          47237.3195         0.002268    
  469          46789.3737         0.002246    
  470          46697.2316         0.002282    
  471          46693.6825         0.002295    
  472          47195.3567         0.002256    
  473          46817.9131         0.002386    
  474          46732.7287         0.002376    
  475          46214.0146         0.002380    
  476          46916.9253         0.002420    
  477          46757.6172         0.002522    
  478          47002.1249         0.002554    
  479          46965.8941         0.002521    
  480          47099.9302         0.002534    
  481          47182.0152         0.002431    
  482          46721.6885         0.002432    
  483          46802.2045         0.002466    
  484          46585.1469         0.002399    
  485          46924.0576         0.002276    
  486          46988.6920         0.002246    
  487          46952.0625         0.002351    
  488          46442.6472         0.002360    
  489          47407.2382         0.002287    
  490          47407.9072         0.002299    
  491          47413.0753         0.002306    
  492          47352.3889         0.002333    
  493          47356.1974         0.002402    
  494          47360.9013         0.002444    
  495          47523.6501         0.002362    
  496          46799.6848         0.002335    
  497          46988.0932         0.002350    
  498          46993.8117         0.002354    
  499          46565.7275         0.002325    
  500          46570.6237         0.002673    
  501          47501.9429         0.003053    
  502          47501.3045         0.002326    
  503          46410.5836         0.002335    
  504          46411.0905         0.002360    
  505          47690.9804         0.002324    
  506          47738.5057         0.002304    
  507          47695.7033         0.002426    
  508          47367.0907         0.002418    
  509          47974.7013         0.002350    
  510          47647.9011         0.002345    
  511          47935.9733         0.002285    
  512          48345.8036         0.002275    
  513          47777.5189         0.002283    
  514          46757.5318         0.002334    
  515          47130.4285         0.002331    
  516          47346.3693         0.002367    
  517          47163.0603         0.002357    
  518          47155.6337         0.002609    
  519          47926.9852         0.002402    
  520          47430.4566         0.002388    
  521          47528.5689         0.002341    
  522          46634.0781         0.002340    
  523          46587.8643         0.002362    
  524          47511.5378         0.002306    
  525          47631.9363         0.002299    
  526          47671.4040         0.002272    
  527          47609.2987         0.002430    
  528          48228.9561         0.002399    
  529          48276.2015         0.002334    
  530          47642.8117         0.002460    
  531          47658.4410         0.002281    
  532          47435.3314         0.002218    
  533          47451.3969         0.002218    
  534          47682.2541         0.002260    
  535          47757.2013         0.002253    
  536          48550.7788         0.002299    
  537          47858.7386         0.002238    
  538          47832.4148         0.002252    
  539          47898.4336         0.002245    
  540          47860.1345         0.002236    
  541          47809.4178         0.002340    
  542          47915.6934         0.002265    
  543          48403.1750         0.002291    
  544          48530.1866         0.002420    
  545          47821.6498         0.002301    
  546          48562.3655         0.002310    
  547          47815.0762         0.002308    
  548          47882.6274         0.002339    
  549          48557.5654         0.002412    
  550          48630.0216         0.002349    
  551          48644.3865         0.002379    
  552          48616.8913         0.002404    
  553          47053.8463         0.002334    
  554          47246.3905         0.002333    
  555          47271.5674         0.002322    
  556          47272.0677         0.002311    
  557          47215.1007         0.002295    
  558          47285.7753         0.002417    
  559          47375.6409         0.002401    
  560          47407.3356         0.002367    
  561          47436.2783         0.002348    
  562          47324.6132         0.002345    
  563          47484.4703         0.002369    
  564          47489.6320         0.002406    
  565          47051.2398         0.003481    
  566          47050.8505         0.003329    
  567          46917.3578         0.002358    
  568          46917.3099         0.002338    
  569          47448.7418         0.002292    
  570          46876.2247         0.002268    
  571          47000.4878         0.002426    
  572          46995.4344         0.002289    
  573          46876.2247         0.002303    
  ------------------------------------------

  Best Start Node:  366
  Best Cost:        44514.8354
  Worst Cost:       51465.6608
  Average Cost:     47158.4047

  Best Path (First 10 nodes): [366, 367, 368, 346, 345, 344, 369, 370, 340, 341]...
======================================================================
