start_node,cost,execution_time
0,54033.576773283414,0.001161100110039115
1,54045.82152616121,0.0011066999286413193
2,53590.13987628564,0.0011076000519096851
3,53671.99304951371,0.0010978998616337776
4,53678.301867974864,0.001100500114262104
5,54310.71763684197,0.0010876001324504614
6,54108.53246977688,0.0010199998505413532
7,53139.502847069685,0.0009721999522298574
8,53488.47824126033,0.0009777999948710203
9,53620.2564895812,0.0009665999095886946
10,53570.22957098271,0.0009736998472362757
11,53370.44100328372,0.0009691000450402498
12,53523.61425781333,0.0011672000400722027
13,53519.76185469575,0.0010307999327778816
14,53866.64795468033,0.0011018000077456236
15,53104.14088472578,0.0010146000422537327
16,52939.68169842905,0.00100170006044209
17,53081.45222063176,0.0010047000832855701
18,53393.50922869093,0.0009894000831991434
19,53279.38845663153,0.0010034998413175344
20,53479.56702843967,0.0010090998839586973
21,53494.1870197167,0.0010101001244038343
22,53707.43626934783,0.0010208000894635916
23,53429.449366972796,0.0009576999582350254
24,53022.44549912157,0.0009574999567121267
25,52971.965820221776,0.00098209991119802
26,53379.548179858844,0.0010150999296456575
27,53658.16984212076,0.0009664001408964396
28,53818.73665993505,0.0009536999277770519
29,53716.18996611006,0.0009467999916523695
30,53709.26093305799,0.0009546000510454178
31,53671.354735894645,0.000952000031247735
32,53669.43715518793,0.0009541998151689768
33,53449.4535984173,0.0009515001438558102
34,51090.293533501856,0.0009525001514703035
35,55092.39093429053,0.0009492000099271536
36,54984.237463562815,0.0009594999719411135
37,51615.96712893561,0.0009651000145822763
38,55100.67842321814,0.0009800998959690332
39,53189.89416968615,0.0009598999749869108
40,53495.61744793329,0.0009748998563736677
41,51457.10815185209,0.0009713999461382627
42,52648.519652279945,0.0010633999481797218
43,52709.6394012062,0.0009769999887794256
44,53152.32380186924,0.000964700011536479
45,52378.214234335996,0.0009686998091638088
46,52745.77787126298,0.000965900020673871
47,53018.43833448359,0.0009507001377642155
48,54037.780938959695,0.0009576000738888979
49,53034.505294644056,0.0009544000495225191
50,52981.02773535996,0.0009623998776078224
51,51459.56732487666,0.0009584000799804926
52,51370.61094910821,0.0009535001590847969
53,52091.02432990415,0.0010035999584943056
54,53061.676820755565,0.0009592999704182148
55,52194.83998060662,0.0009534000419080257
56,52567.77026989101,0.0009455999825149775
57,51726.26886125878,0.0009524000342935324
58,52422.4015084076,0.0010538001079112291
59,54120.11281848427,0.0009919998701661825
60,51825.56207161889,0.0009907998610287905
61,52046.65353476043,0.000960000092163682
62,52053.306813751034,0.0009590000845491886
63,51652.13675790092,0.0009578000754117966
64,54400.082937377934,0.0009504999034106731
65,54296.28118218676,0.0009558999445289373
66,51652.136757900924,0.0009653999004513025
67,51713.62261332955,0.000959400087594986
68,52596.566852143646,0.0009633000008761883
69,52424.37583268796,0.0009543001651763916
70,51798.20078444706,0.0009536999277770519
71,51591.21775865492,0.0009538000449538231
72,51609.439015042815,0.0009667000267654657
73,52620.17908688083,0.0009596000891178846
74,52597.07460645957,0.0010232999920845032
75,51700.156048740006,0.0009799001272767782
76,51753.44066892252,0.0009682998061180115
77,51970.81506337262,0.0009598000906407833
78,51752.67607015043,0.0009702001698315144
79,51696.67909714708,0.0009539001621305943
80,52576.92212292812,0.0009647998958826065
81,52023.94017078548,0.0009572999551892281
82,51886.93795922592,0.0009647998958826065
83,52128.97767566053,0.0009606999810785055
84,51878.61138133514,0.0009892000816762447
85,52249.2159826625,0.0009524999186396599
86,51289.71098560315,0.000961399869993329
87,51542.78738311725,0.0009621998760849237
