======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: LIN318
  Dimension:     318 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  206          51712.1764         0.000965    
  207          52979.4539         0.000984    
  208          51257.1915         0.000984    
  209          52981.6770         0.000994    
  210          53792.5511         0.000990    
  211          53821.1241         0.000989    
  212          52013.7593         0.001016    
  213          51769.4062         0.000988    
  214          51762.9880         0.000972    
  215          52698.2355         0.000969    
  216          53364.0393         0.000962    
  217          51704.4638         0.000965    
  218          53245.2302         0.000954    
  219          53413.7128         0.000956    
  220          53387.0706         0.000957    
  221          52251.1818         0.000958    
  222          53301.3138         0.000953    
  223          53245.2302         0.000949    
  224          53600.6014         0.000955    
  225          51140.6659         0.000958    
  226          51109.9608         0.000964    
  227          51135.4075         0.000953    
  228          53532.5760         0.001069    
  229          52231.7867         0.000972    
  230          52221.4860         0.000982    
  231          52223.4446         0.000972    
  232          51643.8646         0.000989    
  233          53611.1355         0.000976    
  234          51066.1930         0.000983    
  235          51007.2921         0.000973    
  236          53596.8842         0.000981    
  237          51582.3008         0.000970    
  238          51670.4797         0.001027    
  239          51576.7792         0.000961    
  240          51538.3970         0.000973    
  241          51481.3153         0.000970    
  242          53426.7651         0.000974    
  243          51921.2029         0.001009    
  244          51915.0510         0.000999    
  245          51375.5258         0.000987    
  246          51414.6581         0.000986    
  247          52712.8120         0.000979    
  248          52659.0205         0.000998    
  249          51535.4591         0.000982    
  250          50331.5213         0.000993    
  251          51870.5517         0.000985    
  252          50508.2997         0.000994    
  253          50320.7267         0.000973    
  254          50423.4926         0.000970    
  255          49769.1386         0.000973    
  256          50336.4324         0.000991    
  257          54721.6140         0.000973    
  258          53482.2154         0.000962    
  259          54761.6296         0.000986    
  260          55101.3936         0.000976    
  261          51990.7928         0.000968    
  262          51985.1502         0.000975    
  263          55094.6460         0.000968    
  264          54813.2048         0.000970    
  265          54807.7964         0.000966    
  266          50973.4721         0.000967    
  267          55057.7709         0.000953    
  268          52728.8704         0.000995    
  269          51703.7402         0.000967    
  270          51574.9087         0.000967    
  271          52178.4522         0.000968    
  272          50455.8434         0.000968    
  273          51064.0976         0.000960    
  274          52027.7295         0.001030    
  275          51973.1422         0.000975    
  276          50298.7316         0.000983    
  277          50300.7125         0.000973    
  278          52475.3991         0.000967    
  279          52376.5438         0.000958    
  280          52691.7753         0.000970    
  281          51148.6054         0.000969    
  282          50133.0504         0.000970    
  283          52550.1429         0.000969    
  284          52551.2296         0.000971    
  285          50178.7767         0.000958    
  286          52675.8565         0.000969    
  287          52841.2736         0.000967    
  288          52673.1743         0.000976    
  289          50139.3962         0.000982    
  290          52550.0164         0.001172    
  291          52898.6048         0.000978    
  292          52810.0543         0.000975    
  293          53989.8541         0.000962    
  294          53746.8425         0.000965    
  295          52633.4732         0.000970    
  296          52595.4631         0.000975    
  297          52651.1958         0.000970    
  298          51650.2366         0.000970    
  299          51723.7160         0.001020    
  300          52699.4683         0.000985    
  301          52852.6054         0.000976    
  302          53181.3778         0.000975    
  303          51827.9846         0.000962    
  304          51807.4770         0.000969    
  305          52895.4173         0.001012    
  306          53054.1411         0.000982    
  307          53135.2488         0.000972    
  308          52877.1692         0.000977    
  309          51742.9328         0.000970    
  310          53010.1803         0.000988    
  311          53184.8202         0.000980    
  312          53877.6053         0.000991    
  313          51598.8449         0.000982    
  314          50192.7693         0.000984    
  315          54844.4956         0.000981    
  316          54856.4462         0.000979    
  317          51640.2693         0.000972    
  ------------------------------------------

  Best Start Node:  193
  Best Cost:        49215.6125
  Worst Cost:       58862.7628
  Average Cost:     52599.1611

  Best Path (First 10 nodes): [193, 194, 185, 179, 178, 173, 174, 177, 180, 184]...
======================================================================
