======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: PCB442
  Dimension:     442 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  206          64967.7315         0.001412    
  207          63151.9788         0.001402    
  208          63716.8994         0.001406    
  209          63808.7198         0.001428    
  210          61876.8694         0.001427    
  211          63099.0905         0.001414    
  212          61747.8626         0.001456    
  213          62395.1395         0.001403    
  214          62314.0804         0.001427    
  215          62320.2579         0.001434    
  216          62713.2979         0.001449    
  217          63173.0569         0.001447    
  218          63382.1066         0.001434    
  219          63947.9893         0.001420    
  220          62998.6806         0.001420    
  221          61881.0841         0.001422    
  222          62455.5486         0.001414    
  223          64950.5100         0.001406    
  224          62337.9523         0.001537    
  225          66163.7258         0.001471    
  226          62744.1722         0.001439    
  227          62315.1799         0.001459    
  228          64544.3378         0.001483    
  229          62745.9605         0.001454    
  230          59902.1583         0.001450    
  231          64975.0773         0.001434    
  232          61559.0893         0.001415    
  233          62562.4856         0.001482    
  234          61194.2416         0.001411    
  235          65000.0606         0.001534    
  236          63836.7287         0.001448    
  237          62522.6529         0.001423    
  238          62434.7135         0.001420    
  239          61302.8023         0.001437    
  240          63315.8323         0.001437    
  241          65259.7837         0.001410    
  242          65099.2652         0.001422    
  243          64969.1684         0.001420    
  244          64885.5500         0.001423    
  245          63195.0316         0.001419    
  246          63227.3639         0.001823    
  247          63309.6596         0.001614    
  248          63685.6122         0.001476    
  249          60129.9351         0.001491    
  250          64265.3848         0.001481    
  251          64233.2828         0.001483    
  252          64341.7478         0.001463    
  253          64492.9142         0.001480    
  254          64657.4046         0.001432    
  255          62734.1861         0.001560    
  256          62565.3239         0.001663    
  257          62407.4358         0.001471    
  258          62276.8389         0.001444    
  259          63995.2689         0.001441    
  260          64103.2329         0.001443    
  261          64157.7996         0.001479    
  262          65137.1810         0.001458    
  263          61932.9793         0.001456    
  264          61829.0004         0.001452    
  265          62463.6661         0.001438    
  266          62026.7467         0.001489    
  267          62103.7252         0.001435    
  268          62463.0408         0.001424    
  269          62153.9789         0.001421    
  270          62035.8883         0.001432    
  271          61921.5217         0.001425    
  272          62504.2639         0.001450    
  273          62088.8525         0.001438    
  274          62067.0506         0.001460    
  275          62566.3579         0.001440    
  276          62170.6394         0.001503    
  277          60454.5170         0.001450    
  278          62273.0670         0.001430    
  279          60410.2683         0.001443    
  280          62001.0925         0.001440    
  281          62135.3986         0.001409    
  282          61663.7664         0.001411    
  283          61827.5976         0.001428    
  284          61746.2659         0.001440    
  285          61722.5607         0.001418    
  286          61672.9878         0.001412    
  287          61598.0503         0.001490    
  288          61558.9601         0.001406    
  289          60801.2302         0.001401    
  290          60869.7333         0.001393    
  291          60979.0033         0.001394    
  292          60765.0337         0.001405    
  293          60774.4206         0.001399    
  294          60825.7298         0.001464    
  295          60939.6913         0.001401    
  296          62358.0065         0.001406    
  297          62178.3125         0.001542    
  298          62039.8836         0.001470    
  299          62043.5418         0.001451    
  300          61551.1366         0.001454    
  301          61373.7574         0.001418    
  302          61473.5906         0.001410    
  303          61598.4283         0.001436    
  304          61743.2464         0.001453    
  305          62107.6526         0.001445    
  306          61934.6856         0.001430    
  307          62073.9842         0.001463    
  308          60416.2673         0.001535    
  309          60125.3172         0.001439    
  310          60104.4708         0.001439    
  311          60175.9708         0.001441    
  312          61843.2732         0.001467    
  313          60541.8652         0.001457    
  314          60670.3920         0.001427    
  315          60978.0236         0.001422    
  316          61042.4067         0.001409    
  317          61147.7513         0.001461    
  318          60930.0883         0.001439    
  319          60936.0291         0.001422    
  320          60984.1400         0.001416    
  321          61095.1431         0.001398    
  322          61181.9465         0.001392    
  323          60799.7373         0.001421    
  324          61920.6733         0.001406    
  325          61807.8026         0.001398    
  326          61606.4866         0.001394    
  327          61613.7812         0.001404    
  328          61737.0345         0.001406    
  329          62042.5883         0.001504    
  330          62243.4112         0.001458    
  331          61766.8415         0.001433    
  332          61915.7335         0.001423    
  333          62008.2606         0.001404    
  334          62182.0058         0.001406    
  335          62459.4963         0.001402    
  336          62554.5260         0.001427    
  337          62449.8591         0.001411    
  338          61695.8008         0.001409    
  339          60381.9932         0.001417    
  340          62574.6019         0.002178    
  341          62551.0996         0.001444    
  342          61972.7997         0.001415    
  343          62143.0966         0.001407    
  344          61453.1752         0.001415    
  345          62924.0123         0.001413    
  346          63057.1012         0.001400    
  347          62929.9759         0.001401    
  348          62066.3229         0.001419    
  349          62027.0624         0.001408    
  350          62031.5022         0.001477    
  351          61972.2730         0.001431    
  352          61662.1964         0.001442    
  353          61830.4833         0.001433    
  354          61934.4651         0.001421    
  355          61798.0656         0.001411    
  356          61784.5847         0.001424    
  357          62256.0283         0.001453    
  358          61761.7800         0.001407    
  359          61882.3475         0.001396    
  360          61958.0188         0.001775    
  361          61565.6812         0.002648    
  362          60867.5966         0.001562    
  363          60991.7550         0.001418    
  364          61155.8398         0.001436    
  365          61263.3471         0.001445    
  366          61523.0033         0.001435    
  367          61713.3339         0.001459    
  368          61755.1393         0.001441    
  369          61851.2409         0.001474    
  370          62001.6123         0.001425    
  371          62177.6095         0.001408    
  372          62363.6402         0.001414    
  373          62554.1726         0.001398    
  374          62451.3257         0.001400    
  375          64625.3663         0.001428    
  376          62499.8863         0.001439    
  377          61753.1068         0.001450    
  378          62143.0066         0.001453    
  379          62201.4003         0.001475    
  380          63123.2679         0.001501    
  381          63243.9585         0.001456    
  382          64403.8172         0.001461    
  383          64409.4705         0.001469    
  384          63195.1740         0.001461    
  385          61521.5168         0.001430    
  386          61379.5398         0.001455    
  387          64049.4697         0.001481    
  388          62405.1304         0.001519    
  389          62822.4625         0.001464    
  390          62616.6799         0.001499    
  391          60523.6276         0.001482    
  392          63287.1852         0.001490    
  393          63024.3448         0.001493    
  394          62677.8738         0.001503    
  395          58952.9671         0.001490    
  396          62131.2542         0.001491    
  397          64126.6871         0.001489    
  398          61183.5953         0.001499    
  399          62862.2483         0.001485    
  400          62607.1748         0.001448    
  401          62347.4281         0.002067    
  402          61874.2888         0.001473    
  403          62726.2743         0.001460    
  404          59230.9484         0.001472    
  405          62480.0684         0.001465    
  406          62276.1442         0.001450    
  407          64900.4834         0.001468    
  408          64721.1108         0.001481    
  409          64815.6583         0.001467    
  410          64748.6270         0.001530    
  411          62470.9316         0.001526    
  412          64949.8602         0.001547    
  413          61937.9174         0.001479    
  414          60144.9881         0.001450    
  415          62234.2040         0.001433    
  416          64454.1153         0.001450    
  417          64527.7786         0.001466    
  418          62072.1010         0.001448    
  419          62057.4538         0.001434    
  420          61417.7056         0.001482    
  421          61832.4526         0.001602    
  422          61919.2518         0.001485    
  423          60606.6303         0.005057    
  424          61243.5757         0.001468    
  425          62028.2640         0.001451    
  426          62395.1286         0.001462    
  427          62763.1937         0.001450    
  428          61566.9960         0.001476    
  429          61445.6107         0.001503    
  430          61435.4140         0.001458    
  431          61952.3242         0.001434    
  432          62321.4796         0.001424    
  433          61858.8407         0.001414    
  434          61824.3094         0.001413    
  435          63654.6216         0.001443    
  436          61985.3990         0.001423    
  437          62004.6037         0.001417    
  438          64912.4134         0.001410    
  439          62010.9471         0.001487    
  440          61833.5768         0.001481    
  441          61984.0473         0.001465    
  ------------------------------------------

  Best Start Node:  395
  Best Cost:        58952.9671
  Worst Cost:       66163.7258
  Average Cost:     62226.0647

  Best Path (First 10 nodes): [395, 173, 172, 161, 149, 136, 126, 385, 114, 103]...
======================================================================
