======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: RD400
  Dimension:     400 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  206          19875.7139         0.001322    
  207          18784.8737         0.001326    
  208          19061.0412         0.001327    
  209          19302.6856         0.001334    
  210          18762.9765         0.001314    
  211          19344.8210         0.001316    
  212          19685.7892         0.001296    
  213          19336.4813         0.001307    
  214          19228.3539         0.001310    
  215          18965.0757         0.001553    
  216          19342.2941         0.001610    
  217          19545.3981         0.001422    
  218          19072.3319         0.001388    
  219          19449.4679         0.001370    
  220          19728.3503         0.001355    
  221          19094.3913         0.001403    
  222          19636.6534         0.001335    
  223          19557.1708         0.001313    
  224          19009.8392         0.001299    
  225          19435.8821         0.001334    
  226          18636.2749         0.001354    
  227          19441.3562         0.001313    
  228          19216.0985         0.001304    
  229          19681.5946         0.001333    
  230          19427.7817         0.001337    
  231          20214.9126         0.001327    
  232          19255.6611         0.001292    
  233          19276.1221         0.001305    
  234          19330.0875         0.001291    
  235          18745.7206         0.001291    
  236          19896.2423         0.001280    
  237          19057.7015         0.001301    
  238          18939.7581         0.001273    
  239          19309.7341         0.001288    
  240          19336.6312         0.001269    
  241          19083.7961         0.001308    
  242          19877.0897         0.001282    
  243          19248.8700         0.001277    
  244          19485.5943         0.001268    
  245          19024.8442         0.001278    
  246          19442.8665         0.001279    
  247          18609.8833         0.001293    
  248          18545.9493         0.001281    
  249          19560.0606         0.001368    
  250          19492.1766         0.001319    
  251          20034.8262         0.001316    
  252          18908.0728         0.001382    
  253          19414.1632         0.001351    
  254          19762.7936         0.001331    
  255          19426.5969         0.001309    
  256          19229.9769         0.001316    
  257          19903.5032         0.001321    
  258          19381.6753         0.001317    
  259          19259.3923         0.001426    
  260          18999.7414         0.001340    
  261          18842.3269         0.001304    
  262          18745.7206         0.001273    
  263          19108.9153         0.001270    
  264          19248.4818         0.001261    
  265          19492.4227         0.001269    
  266          19435.3732         0.001266    
  267          19620.6638         0.001268    
  268          19620.1289         0.001258    
  269          19680.8727         0.001260    
  270          19292.2600         0.001272    
  271          18753.2200         0.001318    
  272          19130.8602         0.001288    
  273          19459.6636         0.001279    
  274          19115.2946         0.001265    
  275          19531.2160         0.001331    
  276          19183.6257         0.001282    
  277          18475.9303         0.001309    
  278          19837.1344         0.001284    
  279          19252.8955         0.001296    
  280          19402.7382         0.001283    
  281          19034.1559         0.001292    
  282          19386.6487         0.001283    
  283          19215.2071         0.001402    
  284          19354.7068         0.001421    
  285          18972.9580         0.001316    
  286          19034.2902         0.001254    
  287          19339.6405         0.001233    
  288          19183.8853         0.001248    
  289          19059.9244         0.001274    
  290          19401.8223         0.001248    
  291          19328.4131         0.001261    
  292          18876.6587         0.001261    
  293          19799.3295         0.001303    
  294          19325.1803         0.001266    
  295          19259.5908         0.001372    
  296          18311.4720         0.001271    
  297          19201.3421         0.001256    
  298          19644.2533         0.001266    
  299          19521.6684         0.001290    
  300          19265.7192         0.001260    
  301          18835.1042         0.001273    
  302          19357.0922         0.001270    
  303          19460.4682         0.001277    
  304          19265.9310         0.001279    
  305          19290.6405         0.001278    
  306          18896.3722         0.001274    
  307          18498.8058         0.001336    
  308          19294.0551         0.001277    
  309          19548.9038         0.001263    
  310          19499.7724         0.001257    
  311          18442.2024         0.001257    
  312          18971.9592         0.001247    
  313          19642.3005         0.001258    
  314          19042.1171         0.001256    
  315          19276.3761         0.001255    
  316          19223.1485         0.001260    
  317          19626.9935         0.001275    
  318          19081.6959         0.001379    
  319          18936.0232         0.001959    
  320          19403.4838         0.001828    
  321          19183.6257         0.001343    
  322          19063.7116         0.001291    
  323          18722.3068         0.001311    
  324          18812.4468         0.001297    
  325          19697.1087         0.001278    
  326          18846.8245         0.001268    
  327          19142.4556         0.001267    
  328          18913.8596         0.001256    
  329          19704.5989         0.001321    
  330          19517.3199         0.001287    
  331          18706.4512         0.001260    
  332          19333.3472         0.001260    
  333          19546.9865         0.001259    
  334          19692.5227         0.001253    
  335          19275.8304         0.001260    
  336          19209.3372         0.001252    
  337          19296.0264         0.001258    
  338          19554.5556         0.001249    
  339          18482.1275         0.001251    
  340          19065.8261         0.001261    
  341          19819.0655         0.001284    
  342          19819.9572         0.001245    
  343          18872.5261         0.001263    
  344          18910.5889         0.001274    
  345          19267.9391         0.001294    
  346          19504.0223         0.001265    
  347          19073.7660         0.001271    
  348          19395.4619         0.001267    
  349          18810.2805         0.001274    
  350          19190.1294         0.001260    
  351          19643.7184         0.001265    
  352          19498.3901         0.001259    
  353          19261.8183         0.001286    
  354          18602.8672         0.001269    
  355          19345.7458         0.001264    
  356          19255.2409         0.001260    
  357          19042.9495         0.001259    
  358          18436.6537         0.001264    
  359          19270.4524         0.001252    
  360          19822.7775         0.001267    
  361          19935.3469         0.001271    
  362          18538.4408         0.001256    
  363          18991.7358         0.001308    
  364          18952.3389         0.001274    
  365          18436.9315         0.001376    
  366          19276.5726         0.001290    
  367          19213.2694         0.001297    
  368          19476.5631         0.001313    
  369          19360.7313         0.001280    
  370          19592.7108         0.001254    
  371          19367.3883         0.001262    
  372          19817.6839         0.001276    
  373          19349.4434         0.001271    
  374          19173.3276         0.001265    
  375          19473.2261         0.001269    
  376          19420.1100         0.001253    
  377          19544.4103         0.001462    
  378          19274.2377         0.001252    
  379          19226.4127         0.001238    
  380          18444.7956         0.001229    
  381          19317.9110         0.001254    
  382          18963.8564         0.001237    
  383          19201.6510         0.001244    
  384          19286.1199         0.001250    
  385          19616.8682         0.001244    
  386          19809.0252         0.001251    
  387          18869.3720         0.001251    
  388          18455.9128         0.001241    
  389          19720.0307         0.001287    
  390          19514.1433         0.001238    
  391          18979.7829         0.001240    
  392          19859.9550         0.001264    
  393          19191.4827         0.001244    
  394          19266.4276         0.001243    
  395          18758.0066         0.001243    
  396          19672.7034         0.001241    
  397          18377.1249         0.001243    
  398          19270.9643         0.001226    
  399          19176.0243         0.001237    
  ------------------------------------------

  Best Start Node:  199
  Best Cost:        18303.2995
  Worst Cost:       20214.9126
  Average Cost:     19221.0936

  Best Path (First 10 nodes): [199, 330, 388, 355, 186, 311, 86, 277, 347, 399]...
======================================================================
