start_node,cost,execution_time
0,46881.86653725991,0.0031026999931782484
1,46910.45476541807,0.002678899996681139
2,46940.02838721413,0.004049700015457347
3,46999.38692410859,0.004126400017412379
4,47335.56772981203,0.003416399995330721
5,47355.43854051731,0.00243870000122115
6,47251.500838130734,0.0026092999905813485
7,47186.26707800796,0.004077799996593967
8,47143.09577693206,0.0034946000087074935
9,47117.981105570296,0.0024370999890379608
10,46546.48934638826,0.002392199996393174
11,49034.770478124075,0.0024348000006284565
12,47535.28581412441,0.002443300007143989
13,46886.59916191449,0.0023287000076379627
14,46637.36629957613,0.002264200011268258
15,46736.640109775595,0.0022274999937508255
16,46416.986782500055,0.0021868000039830804
17,48469.95690706253,0.0024077999987639487
18,48465.82836828982,0.002373399998759851
19,48533.72704532328,0.0023864000104367733
20,46759.435884008526,0.00237199998809956
21,49279.77717577943,0.002314699988346547
22,47283.63123939695,0.0022675000072922558
23,48415.65801585378,0.0022560999786946923
24,49230.82596650204,0.0024584000057075173
25,48531.5821460182,0.002320500003406778
26,49260.80091936684,0.0023754999856464565
27,47621.674699919895,0.002240500005427748
28,50858.02107228442,0.0024203999782912433
29,46247.24684090789,0.0023607999901287258
30,47078.239238151626,0.0023372000141534954
31,48765.310502169224,0.002267600008053705
32,48796.43953876254,0.0022915999870747328
33,49481.71705652163,0.0023566000163555145
34,49481.8690391618,0.0023298999876715243
35,46876.85506620135,0.0023899000079836696
36,46869.17670840116,0.0023719000164419413
37,46891.32073780308,0.002365199994528666
38,46936.62741744468,0.002305599977262318
39,46950.29921408048,0.0023797000176273286
40,46886.66202988925,0.002326300018467009
41,46951.98137630195,0.002307500020833686
42,46942.164175897604,0.0022792999807279557
43,46947.75545476133,0.0022713000071235
44,47018.03899572614,0.00226979999570176
45,47186.65296247793,0.002292799996212125
46,46983.970194573616,0.0032405999954789877
47,47212.18317382321,0.002447399980155751
48,46996.452982855175,0.0024295999901369214
49,46999.60815520468,0.002540799992857501
50,47296.87616414158,0.002418099989881739
51,47326.227336846154,0.002399299992248416
52,46852.59157401267,0.0024873000220395625
53,47205.77449547083,0.0023190000210888684
