======================================================================
  GREEDY TSP ALGORITHM REPORT (Nearest Neighbor)
  Instance Name: RAT575
  Dimension:     575 cities
======================================================================

  Start Node   Cost (Distance)    Time (s)    
  206          8554.7424          0.001996    
  207          8419.9553          0.002051    
  208          8400.4358          0.002010    
  209          8426.0133          0.002074    
  210          8337.2634          0.002040    
  211          8099.5274          0.002050    
  212          8120.3920          0.001980    
  213          8274.1626          0.001989    
  214          8411.4732          0.001971    
  215          8414.5947          0.003126    
  216          8350.1105          0.002067    
  217          8354.2893          0.002009    
  218          8238.3174          0.002018    
  219          8355.4714          0.002062    
  220          8204.0902          0.002091    
  221          8193.2996          0.002135    
  222          8169.2419          0.002124    
  223          8241.8227          0.002143    
  224          8252.6792          0.002129    
  225          8173.3611          0.002148    
  226          8160.9190          0.002056    
  227          8376.2399          0.002109    
  228          8483.0744          0.002107    
  229          8364.6756          0.002116    
  230          8018.3075          0.002112    
  231          8140.5373          0.002111    
  232          8120.0538          0.002130    
  233          8227.3894          0.002121    
  234          8005.2663          0.002122    
  235          8134.3374          0.002099    
  236          8138.8876          0.002229    
  237          8331.2170          0.002095    
  238          8177.5159          0.002072    
  239          8319.4479          0.002125    
  240          8325.1211          0.002188    
  241          8418.9178          0.002124    
  242          8233.2017          0.002155    
  243          8222.5822          0.002147    
  244          8455.3581          0.002108    
  245          8150.0026          0.002102    
  246          8468.1124          0.002094    
  247          8140.5786          0.002122    
  248          8273.4452          0.002176    
  249          8107.7134          0.002118    
  250          8339.3751          0.002121    
  251          8335.4726          0.002112    
  252          8361.8596          0.002135    
  253          8106.6063          0.002182    
  254          7984.3925          0.002129    
  255          7972.3294          0.002122    
  256          7996.4394          0.002113    
  257          8235.6917          0.002114    
  258          8104.2430          0.002070    
  259          8112.3733          0.002045    
  260          8042.2904          0.002127    
  261          8375.1096          0.002093    
  262          8205.0885          0.002079    
  263          8171.9009          0.002050    
  264          8427.7671          0.002035    
  265          8334.4203          0.002012    
  266          8445.2341          0.002021    
  267          8131.4327          0.002088    
  268          8400.1594          0.001994    
  269          8059.9450          0.002064    
  270          8131.9769          0.002034    
  271          8331.9852          0.002005    
  272          8113.3878          0.002004    
  273          8118.1347          0.002009    
  274          8314.9479          0.001994    
  275          8133.4630          0.001980    
  276          7973.0403          0.002051    
  277          8001.5105          0.002111    
  278          8002.8938          0.002140    
  279          8015.3472          0.002154    
  280          8064.0126          0.002190    
  281          8100.4668          0.002140    
  282          8320.1991          0.002159    
  283          8147.5577          0.002251    
  284          8176.6480          0.002257    
  285          8198.8129          0.002094    
  286          8192.6127          0.002057    
  287          8262.4348          0.002074    
  288          8127.5941          0.002133    
  289          8144.4821          0.002103    
  290          8150.3454          0.002081    
  291          8099.8993          0.002125    
  292          8156.1540          0.002084    
  293          8175.2268          0.002055    
  294          8169.9271          0.002050    
  295          8191.3501          0.002053    
  296          8131.3423          0.002105    
  297          8134.2478          0.002073    
  298          8338.0832          0.002141    
  299          8051.6561          0.002100    
  300          8055.6215          0.002121    
  301          7998.9270          0.002120    
  302          8050.6876          0.002104    
  303          8067.5524          0.002097    
  304          8058.1411          0.002135    
  305          8141.7854          0.002282    
  306          8112.0535          0.002151    
  307          8057.3057          0.002133    
  308          8137.4101          0.002143    
  309          8392.3569          0.002165    
  310          8105.5727          0.002187    
  311          8158.3774          0.002156    
  312          8169.8877          0.002175    
  313          8156.7438          0.002104    
  314          8169.8875          0.002103    
  315          8147.4930          0.002106    
  316          8194.7867          0.002093    
  317          8155.4230          0.002159    
  318          8151.8365          0.002084    
  319          8146.4310          0.002152    
  320          8227.1911          0.002108    
  321          8204.8396          0.002117    
  322          8124.4635          0.002137    
  323          8040.7317          0.002087    
  324          8119.8126          0.002100    
  325          8052.8931          0.002015    
  326          8053.1068          0.002797    
  327          8114.6442          0.002566    
  328          8127.5215          0.002023    
  329          8112.7935          0.001998    
  330          8149.6805          0.002002    
  331          8169.1674          0.001980    
  332          8161.7119          0.001976    
  333          8244.3878          0.002117    
  334          8242.2533          0.002059    
  335          8042.5473          0.002089    
  336          8187.6392          0.002082    
  337          8089.9074          0.002046    
  338          8168.4780          0.002043    
  339          8078.2874          0.001981    
  340          8107.5877          0.002026    
  341          8094.4649          0.001978    
  342          8094.4649          0.001976    
  343          8159.4989          0.002002    
  344          8189.7228          0.002005    
  345          8207.5669          0.001994    
  346          8161.1163          0.001998    
  347          8007.2690          0.001992    
  348          8018.7017          0.002040    
  349          8064.3466          0.001968    
  350          8217.3130          0.001966    
  351          8210.6576          0.001977    
  352          8103.3379          0.001979    
  353          8163.0589          0.001981    
  354          8144.0993          0.002037    
  355          8166.2446          0.002029    
  356          8207.2330          0.002048    
  357          8237.4624          0.002049    
  358          8110.7372          0.002015    
  359          8158.0631          0.001984    
  360          8075.9410          0.002033    
  361          8132.4516          0.002003    
  362          8082.8220          0.001983    
  363          8107.3430          0.001989    
  364          8085.9910          0.001987    
  365          8214.0534          0.001985    
  366          8622.7233          0.001985    
  367          8192.5983          0.002100    
  368          8205.3713          0.002046    
  369          8237.1960          0.002048    
  370          8215.6202          0.001970    
  371          8220.5463          0.002048    
  372          8168.9471          0.001987    
  373          8021.1106          0.001981    
  374          8079.4321          0.001981    
  375          8086.7253          0.002019    
  376          8294.6589          0.002001    
  377          8124.9495          0.001985    
  378          8190.1446          0.001992    
  379          8131.8308          0.001972    
  380          8159.9154          0.001989    
  381          8222.6500          0.002001    
  382          8095.3574          0.002014    
  383          8104.9343          0.001994    
  384          8076.3307          0.002006    
  385          8081.5090          0.001984    
  386          8612.4132          0.001986    
  387          8231.2521          0.001980    
  388          8207.3942          0.001969    
  389          8639.1148          0.001967    
